LOGRADOURO;BAIRRO ALTO;QUANTIDADE;TIPO;LATITUDE;LONGITUDE;;
PROFESSORA DELMINDA SANTOS FERNANDES;SÍTIO CERCADO;11;PATRIMONIO;-25,5297422;-49,2709759;;
CAPITAO JOSÉ MARIA SOBRINHO;FANNY;5;PATRIMONIO;-25,4808233;-49,2703196;;
PRESIDENTE FARIA;CENTRO;102;PATRIMONIO;-25,4252903;-49,2688098;;
PRESIDENTE FARIA;CENTRO;42;VIDA;-25,4252903;-49,2688098;;
PRESIDENTE CARLOS CAVALCANTI;CENTRO;23;PATRIMONIO;-25,4264091;-49,2686733;;
SENADOR ACCIOLY FILHO;CIDADE INDUSTRIAL;30;VIDA;-25,5348349;-49,26836;;
SENADOR ACCIOLY FILHO;CIDADE INDUSTRIAL;15;PATRIMONIO;-25,5348349;-49,26836;;
PRESIDENTE GETÚLIO VARGAS;ÁGUA VERDE;15;PATRIMONIO;-25,4427926;-49,2662569;;
PRESIDENTE GETÚLIO VARGAS;REBOUÇAS;14;PATRIMONIO;-25,4427926;-49,2662569;;
MARECHAL HERMES;CENTRO CÍVICO;5;VIDA;-25,4093016;-49,2661648;;
CONSELHEIRO LAURINDO;PRADO VELHO;19;PATRIMONIO;-25,4336229;-49,2634212;;
CONSELHEIRO LAURINDO;CENTRO;18;PATRIMONIO;-25,4336229;-49,2634212;;
CONSELHEIRO LAURINDO;CENTRO;7;VIDA;-25,4336229;-49,2634212;;
CONSELHEIRO LAURINDO;PRADO VELHO;5;VIDA;-25,4336229;-49,2634212;;
COMENDADOR MACEDO;CENTRO;5;PATRIMONIO;-25,4308119;-49,2625375;;
VEREADOR OSWALDO NASCIMENTO BITTENCOURT;XAXIM;5;PATRIMONIO;-25,4985847;-49,2623348;;
ENGENHEIROS REBOUÇAS;JARDIM BOTÂNICO;21;VIDA;-25,4414617;-49,2584907;;
ENGENHEIROS REBOUÇAS;JARDIM BOTÂNICO;18;PATRIMONIO;-25,4414617;-49,2584907;;
MARECHAL FLORIANO PEIXOTO;BOQUEIRÃO;507;PATRIMONIO;-25,4601724;-49,2578292;;
MARECHAL FLORIANO PEIXOTO;BOQUEIRÃO;142;VIDA;-25,4601724;-49,2578292;;
MARECHAL FLORIANO PEIXOTO;HAUER;117;PATRIMONIO;-25,4601724;-49,2578292;;
MARECHAL FLORIANO PEIXOTO;REBOUÇAS;91;PATRIMONIO;-25,4601724;-49,2578292;;
MARECHAL FLORIANO PEIXOTO;PAROLIN;59;PATRIMONIO;-25,4601724;-49,2578292;;
MARECHAL FLORIANO PEIXOTO;PRADO VELHO;54;PATRIMONIO;-25,4601724;-49,2578292;;
MARECHAL FLORIANO PEIXOTO;HAUER;48;VIDA;-25,4601724;-49,2578292;;
MARECHAL FLORIANO PEIXOTO;REBOUÇAS;17;VIDA;-25,4601724;-49,2578292;;
MARECHAL FLORIANO PEIXOTO;CENTRO;17;PATRIMONIO;-25,4601724;-49,2578292;;
MARECHAL FLORIANO PEIXOTO;ALTO BOQUEIRÃO;12;PATRIMONIO;-25,4601724;-49,2578292;;
MARECHAL FLORIANO PEIXOTO;PAROLIN;9;VIDA;-25,4601724;-49,2578292;;
MARECHAL FLORIANO PEIXOTO;CENTRO;8;VIDA;-25,4601724;-49,2578292;;
MARECHAL FLORIANO PEIXOTO;PRADO VELHO;7;VIDA;-25,4601724;-49,2578292;;
MARECHAL FLORIANO PEIXOTO;ALTO BOQUEIRÃO;5;VIDA;-25,4601724;-49,2578292;;
CORONEL VICTOR AGNER KENDRICK;SÍTIO CERCADO;19;PATRIMONIO;-25,5320968;-49,257285;;
PROFESSORA MARIA DE ASSUMPÇÃO;BOQUEIRÃO;18;PATRIMONIO;-25,4842091;-49,2500019;;
PROFESSORA MARIA DE ASSUMPÇÃO;BOQUEIRÃO;10;VIDA;-25,4842091;-49,2500019;;
GOVERNADOR JORGE LACERDA;GUABIROTUBA;6;VIDA;-25,4620449;-49,2445575;;
ALMIRANTE DONADELLO;ALTO BOQUEIRÃO;14;PATRIMONIO;-25,5429869;-49,2443175;;
PREFEITO LOTHÁRIO MEISSNER;JARDIM BOTÂNICO;31;PATRIMONIO;-25,4442083;-49,2407948;;
PREFEITO LOTHÁRIO MEISSNER;JARDIM BOTÂNICO;13;VIDA;-25,4442083;-49,2407948;;
ENGENHEIRO OSTOJA ROGUSKI;JARDIM BOTÂNICO;71;PATRIMONIO;-25,4405007;-49,2397916;;
ENGENHEIRO OSTOJA ROGUSKI;JARDIM BOTÂNICO;15;VIDA;-25,4405007;-49,2397916;;
CORONEL FRANCISCO HERÁCLITO DOS SANTOS;JARDIM DAS AMÉRICAS;26;PATRIMONIO;-25,471199;-49,2372401;;
CAPITAO ROBERTO LOPES QUINTAS;ALTO BOQUEIRÃO;20;PATRIMONIO;-25,537217;-49,2371672;;
MAESTRO CARLOS FRANK;ALTO BOQUEIRÃO;16;PATRIMONIO;-25,5179261;-49,2300255;;
PREFEITO MAURÍCIO FRUET;CAJURU;66;PATRIMONIO;-25,4394904;-49,2238585;;
PREFEITO MAURÍCIO FRUET;CAJURU;10;VIDA;-25,4394904;-49,2238585;;
SENADOR SALGADO FILHO;UBERABA;9;PATRIMONIO;-25,4844386;-49,2234377;;
PRESIDENTE AFFONSO CAMARGO;JARDIM BOTÂNICO;144;PATRIMONIO;-25,4398175;-49,2217413;;
PRESIDENTE AFFONSO CAMARGO;CAPÃO DA IMBUIA;98;PATRIMONIO;-25,4398175;-49,2217413;;
PRESIDENTE AFFONSO CAMARGO;CAJURU;95;PATRIMONIO;-25,4398175;-49,2217413;;
PRESIDENTE AFFONSO CAMARGO;JARDIM BOTÂNICO;63;VIDA;-25,4398175;-49,2217413;;
PRESIDENTE AFFONSO CAMARGO;REBOUÇAS;44;PATRIMONIO;-25,4398175;-49,2217413;;
PRESIDENTE AFFONSO CAMARGO;CRISTO REI;37;PATRIMONIO;-25,4398175;-49,2217413;;
PRESIDENTE AFFONSO CAMARGO;CAJURU;28;VIDA;-25,4398175;-49,2217413;;
PRESIDENTE AFFONSO CAMARGO;CAPÃO DA IMBUIA;14;VIDA;-25,4398175;-49,2217413;;
PRESIDENTE AFFONSO CAMARGO;REBOUÇAS;11;VIDA;-25,4398175;-49,2217413;;
CAPITAO LEÔNIDAS MARQUES;UBERABA;5;PATRIMONIO;-25,4746055;-49,2181245;;
ENGENHEIRO COSTA BARROS;CAJURU;70;PATRIMONIO;-25,4525193;-49,2143941;;
ENGENHEIRO COSTA BARROS;CAJURU;29;VIDA;-25,4525193;-49,2143941;;
COMENDADOR FRANCO;JARDIM BOTÂNICO;6;PATRIMONIO;-25,5016358;-49,2082049;;
JORNALISTA ADERBAL GAERTNER STRESSER;CAJURU;22;PATRIMONIO;-25,4705309;-49,2044573;;
PADRE JOSE EDMUNDO DILLY;CAPÃO DA IMBUIA;13;VIDA;-25,4345618;-49,2038098;;
JORNALISTA ALCEU CHICHORRO;BAIRRO ALTO;7;PATRIMONIO;-25,412543;-49,202365;;
ENGENHEIRO BENEDITO MÁRIO DA SILVA;CAJURU;44;PATRIMONIO;-25,4682708;-49,2004286;;
ENGENHEIRO BENEDITO MÁRIO DA SILVA;CAJURU;22;VIDA;-25,4682708;-49,2004286;;
VISCONDE DE NACAR;CENTRO;19;PATRIMONIO;-25,5186627;-48,5049173;;
VISCONDE DE NACAR;CENTRO;8;VIDA;-25,5186627;-48,5049173;;
BR CENTO E DEZESSEIS;XAXIM;127;PATRIMONIO;-25.421208249675566, -49.22510820201672;;;
BR-277 - CURITIBA / PONTA GROSSA;SANTO INÁCIO;60;PATRIMONIO;-25.431154228724935, -49.32622643541487;;;
DOUTOR LUIS BETTEGA;CAJURU;56;PATRIMONIO;-25.460957496935766, -49.19600654439068;;;
JOÃO MIQUELETTO;ALTO BOQUEIRÃO;56;PATRIMONIO;-25.551781322264812, -49.23477237322401;;;
PADRE JOÃO SOTTO-MAIOR;SÃO FRANCISCO;53;PATRIMONIO;-25.421619313867577, -49.27451214311535;;;
CURITIBA PARANAGUÁ BR-277;UBERABA;49;PATRIMONIO;-25.47646822263866, -49.20666308522196;;;
ERNESTO GERMANO FRANCISCO HANNEMANN;TATUQUARA;46;PATRIMONIO;-25.55940255258615, -49.33130699836639;;;
FIORAVANTE SLAVIERO;NOVO MUNDO;45;PATRIMONIO;-25.490009199262225, -49.31019144439018;;;
JUSCELINO KUBITSCHEK DE OLIVEIRA LD;CIDADE INDUSTRIAL;39;PATRIMONIO;-25.49015838375646, -49.34485480759942;;;
DOUTOR LUIS BETTEGA;CAJURU;38;PATRIMONIO;-25.460976870603233, -49.19604945973142;;;
LEONARDO GELINSKI (AV. MARGINAL);CAJURU;33;PATRIMONIO;-25.4533559712201, -49.20040010206113;;;
JOSEPHA DEREN DESTEFANI;BOQUEIRÃO;32;PATRIMONIO;-25.460976870603233, -49.19604945973142;;;
ADORIDES DE JESUS CRUZ CAMARGO;FAZENDINHA;28;PATRIMONIO;-25.500567300108354, -49.237957015554656;;;
PRAÇA PADRE JOÃO SOTTO-MAIOR;SÃO FRANCISCO;28;PATRIMONIO;-25.421696833834112, -49.275134415556266;;;
BR-277 - CURITIBA / PONTA GROSSA;SANTO INÁCIO;26;VIDA;-25.431154228724935, -49.32622643541487;;;
VEREADOR ELIAS KARAM;FAZENDINHA;25;PATRIMONIO;-25.480200913192803, -49.3307004290497;;;
BR CENTO E DEZESSEIS;FANNY;24;PATRIMONIO;-25.50740870786501, -49.28533219626094;;;
ABILIO DE ABREU;GUABIROTUBA;23;PATRIMONIO;-25.457625837188687, -49.246349246197866;;;
ABILIO DE ABREU;GUABIROTUBA;12;VIDA;;;;
ADORIDES DE JESUS CRUZ CAMARGO;FAZENDINHA;9;VIDA;-25.4769996126785, -49.328082100214345;;;
AGOSTINHO LEGROS;BOQUEIRÃO;5;PATRIMONIO;-25.517868359501897, -49.236414059730336;;;
AMAURY LANGE SILVERIO;PILARZINHO;7;PATRIMONIO;-25.390261076321075, -49.28367892905144;;;
ANTONIA MOLINA BELA;CIDADE INDUSTRIAL;5;PATRIMONIO;-25.528526258191004, -49.33395168856535;;;
ATILIO PIOTTO;UBERABA;9;PATRIMONIO;-25.48011439846965, -49.19935463089585;;;
AUGUSTO FURBECK;CAJURU;5;PATRIMONIO;-25.463333483768746, -49.19580063089635;;;
AYRTON PIZZATTO GUSI;XAXIM;13;PATRIMONIO;-25.525422757190537, -49.259476302059795;;;
BR CENTO E DEZESSEIS;XAXIM;20;VIDA;-25.507884359882354, -49.28437136859659;;;
BR CENTO E DEZESSEIS;PINHEIRINHO;20;PATRIMONIO;-25.513336853066573, -49.28994652426881;;;
BR CENTO E DEZESSEIS;TATUQUARA;15;PATRIMONIO;-25.525977646152633, -49.297421437633616;;;
BR CENTO E DEZESSEIS;PAROLIN;12;PATRIMONIO;-25.473961232697288, -49.25755859137685;;;
BR CENTO E DEZESSEIS;ATUBA;5;PATRIMONIO;-25.389626611661182, -49.20614600893058;;;
BR CENTO E DEZESSEIS;HAUER;5;PATRIMONIO;-25.47098894901358, -49.255098649030245;;;
BR-277 - CURITIBA / PONTA GROSSA;ORLEANS;17;VIDA;-25.42925769982377, -49.35150841672016;;;
BR-277 - CURITIBA / PONTA GROSSA;ORLEANS;7;PATRIMONIO;-25.42925769982377, -49.35150841672016;;;
CANAL BELÉM - MARGINAL LESTE;UBERABA;5;PATRIMONIO;-25.49492399379055, -49.2263472448119;;;
CHANC. OSWALDO ARANHA;BOQUEIRÃO;10;PATRIMONIO;-25.49162177325544, -49.26190530170007;;;
CORONEL FRANCISCO H DOS SANTOS;JARDIM DAS AMÉRICAS;23;PATRIMONIO;-25.46047238377008, -49.2333265713796;;;
CORONEL FRANCISCO H DOS SANTOS;GUABIROTUBA;10;PATRIMONIO;-25.46047238377008, -49.2333265713796;;;
CORONEL FRANCISCO H DOS SANTOS;GUABIROTUBA;7;VIDA;-25.46047238377008, -49.2333265713796;;;
CORONEL FRANCISCO H DOS SANTOS;JARDIM DAS AMÉRICAS;6;VIDA;-25.46047238377008, -49.2333265713796;;;
CORONEL FRANCISCO H DOS SANTOS;UBERABA;6;PATRIMONIO;-25.46047238377008, -49.2333265713796;;;
CURITIBA PARANAGUÁ BR-277;CAJURU;20;PATRIMONIO;-25.458104157181083, -49.22206947031674;;;
CURITIBA PARANAGUÁ BR-277;CAJURU;6;VIDA;-25.458104157181083, -49.22206947031674;;;
CURITIBA PARANAGUÁ BR-277;SANTA FELICIDADE;6;PATRIMONIO;-25.431016747523852, -49.32548556355371;;;
DAS TECNOLOGIAS;SÍTIO CERCADO;13;PATRIMONIO;-25.543781844850503, -49.26899018856495;;;
EVELAZIO AUGUSTO BLEY;TATUQUARA;9;PATRIMONIO;-25.55999772603126, -49.32478577322399;;;
EVELAZIO AUGUSTO BLEY;TATUQUARA;6;VIDA;-25.55999772603126, -49.32478577322399;;;
EVELÁZIO AUGUSTO BLEY;TATUQUARA;5;PATRIMONIO;-25.55999772603126, -49.32478577322399;;;
FILÓS. HUBERTO ROHDEN;SÍTIO CERCADO;7;PATRIMONIO;-25.540294883733523, -49.27414521740026;;;
FR. TEÓFILO;CAPÃO RASO;6;PATRIMONIO;-25.502421416764122, -49.301931930895584;;;
FRANCISCA BERALDI PAOLINI;CAXIMBA;9;PATRIMONIO;-25.617126035245683, -49.35194170205794;;;
FRANCISCO JOSE BOZZA, S/N - TATUQUARA;TATUQUARA;16;PATRIMONIO;-25.559322668123276, -49.31848611739987;;;
JAN FREDERIK DE JAGER;AUGUSTA;22;PATRIMONIO;-25.489990830271612, -49.35734703089569;;;
JOAO HENRIQUE HOFFMANN;UBERABA;7;PATRIMONIO;-25.496569483753525, -49.20105000206042;;;
JOÃO MIQUELETTO;ALTO BOQUEIRÃO;13;VIDA;;;;
JORNALISTA ARAMIS MILARCH;TATUQUARA;21;PATRIMONIO;;;;
JUSCELINO KUBITSCHEK DE OLIVEIRA EC;CIDADE INDUSTRIAL;21;PATRIMONIO;;;;
JUSCELINO KUBITSCHEK DE OLIVEIRA EC;CIDADE INDUSTRIAL;5;VIDA;;;;
LAURO SCHEREIBER;CIDADE INDUSTRIAL;11;PATRIMONIO;;;;
LÁZARO BORSSATTO;ALTO BOQUEIRÃO;18;PATRIMONIO;;;;
LÁZARO BORSSATTO;ALTO BOQUEIRÃO;6;VIDA;;;;
LOURDES ERZINGER CORREIA;UBERABA;8;PATRIMONIO;;;;
NÃO INFORMADO;CAJURU;5;PATRIMONIO;;;;
OTTO CABÉL;NOVO MUNDO;6;PATRIMONIO;;;;
PADRE ALBINO VICO;CAPÃO RASO;12;PATRIMONIO;;;;
PADRE JOÃO SOTTO-MAIOR;SÃO FRANCISCO;24;PATRIMONIO;;;;
PAULO JULIO REKSIDLER;SÃO MIGUEL;10;PATRIMONIO;;;;
RAIMUNDO NINA RODRIGUES;CAJURU;13;PATRIMONIO;;;;
RAIMUNDO NINA RODRIGUES;CAJURU;9;VIDA;;;;
RENÊ RIBEIRO TEIXEIRA;UMBARÁ;5;VIDA;;;;
ROBERTO BARBOSA DE ALMEIDA;ALTO BOQUEIRÃO;6;PATRIMONIO;;;;
ROBERTO DALA BARBA;SÍTIO CERCADO;14;PATRIMONIO;;;;
VALDEMIRO NATÁLIO BORDENOWSKI;SANTA FELICIDADE;5;PATRIMONIO;;;;
VEREADOR ELIAS KARAM;FAZENDINHA;10;PATRIMONIO;;;;
